#format table ## [Custom WaveView] saved 14:30:34 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.980E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 9.114E-06 , 9.056E-06 
 9.030E-03 , 1.324E-03 , 1.324E-03 , 1.324E-03 , 1.289E+00 , 1.324E-03 , 1.324E-03 
 9.080E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 9.111E-06 , 9.057E-06 
 9.130E-03 , 1.687E-04 , 1.687E-04 , 1.687E-04 , 1.300E+00 , 1.687E-04 , 1.300E+00 
 9.180E-03 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.907E-05 , 1.296E+00 , 1.326E+00 
 9.230E-03 , 1.325E-03 , 1.325E-03 , 1.325E-03 , 1.289E+00 , 1.325E-03 , 1.325E-03 
 9.280E-03 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.907E-05 , 1.296E+00 , 1.326E+00 
 9.330E-03 , 1.688E-04 , 1.688E-04 , 1.688E-04 , 1.300E+00 , 1.688E-04 , 1.300E+00 
 9.380E-03 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.906E-05 , 1.296E+00 , 1.326E+00 
 9.430E-03 , 1.688E-04 , 1.688E-04 , 1.688E-04 , 1.300E+00 , 1.688E-04 , 1.300E+00 
 9.480E-03 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.906E-05 , 1.296E+00 , 1.326E+00 
 9.530E-03 , 1.689E-04 , 1.689E-04 , 1.689E-04 , 1.300E+00 , 1.689E-04 , 1.300E+00 
 9.580E-03 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.906E-05 , 1.296E+00 , 1.326E+00 
 9.630E-03 , 1.689E-04 , 1.689E-04 , 1.689E-04 , 1.300E+00 , 1.689E-04 , 1.300E+00 
 9.680E-03 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.168E-06 , 1.319E+00 , 9.150E-06 
 9.730E-03 , 1.690E-04 , 1.690E-04 , 1.690E-04 , 1.300E+00 , 1.690E-04 , 1.300E+00 
 9.780E-03 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.168E-06 , 1.319E+00 , 9.159E-06 
 9.830E-03 , 1.976E-04 , 1.976E-04 , 1.976E-04 , 1.250E+00 , 1.300E+00 , 1.976E-04 
 9.880E-03 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.168E-06 , 1.319E+00 , 9.141E-06 
 9.930E-03 , 1.977E-04 , 1.977E-04 , 1.977E-04 , 1.250E+00 , 1.300E+00 , 1.976E-04 
 9.980E-03 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.168E-06 , 1.319E+00 , 9.178E-06 
 1.003E-02 , 1.977E-04 , 1.977E-04 , 1.977E-04 , 1.250E+00 , 1.300E+00 , 1.977E-04 
 1.008E-02 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.168E-06 , 1.319E+00 , 9.127E-06 
 1.013E-02 , 1.978E-04 , 1.978E-04 , 1.978E-04 , 1.250E+00 , 1.300E+00 , 1.977E-04 
 1.018E-02 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.166E-06 , 9.167E-06 , 1.319E+00 
 1.023E-02 , 1.978E-04 , 1.978E-04 , 1.978E-04 , 1.250E+00 , 1.300E+00 , 1.978E-04 
 1.028E-02 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.167E-06 , 9.167E-06 , 1.319E+00 
 1.033E-02 , 2.265E-05 , 2.265E-05 , 2.265E-05 , 1.268E+00 , 1.268E+00 , 1.310E+00 
 1.038E-02 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.167E-06 , 9.168E-06 , 1.319E+00 
 1.043E-02 , 2.265E-05 , 2.265E-05 , 2.265E-05 , 1.268E+00 , 1.268E+00 , 1.310E+00 
 1.048E-02 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.167E-06 , 9.168E-06 , 1.319E+00 
 1.053E-02 , 2.266E-05 , 2.266E-05 , 2.266E-05 , 1.268E+00 , 1.268E+00 , 1.310E+00 
